Rating,Title,Text
1.0,Read before you buy,"  This camera quality is awesome. As far as using for security forget about it. I have 3 indoor camera that work great. I bought 2 cam v3 for outside. They are basically junk they alert you on bugs, tree blowing, lights from cars shining on trees. Unless you have a yard without anything blowing or bugs flying around then don’t bother for security. I’m talking about events happening non stop all night long. I set the security all the way down and didn’t help at all. Ive watch 50 videos with nothing in them. Day time i think is fine so hopefully if you have criminals in your neighborhood they only work during the day."
5.0,It's superior to v2.  It is.,"  It seems to cue up in the app faster than v2, the night vision also works extremely well.But I want to explain, since I see some people saying color night vision doesn't work.  No, it works...but you didn't follow the instructions.  Thus let me help you out.You see, ""color night vision"" is not actually night vision.What?I said color night vision is NOT actually ""night vision"".TO understand, you need to understand ""light"".Night vision works by using infrared light, which is seen by the camera lens (but not the naked eye).  That's why you can't use an IR light for a camera facing a window; it's just going to reflect itself.TO solve this, you could put an IR blaster outdoors, but pretty much all of them require hardwire power.  Which defeats the purpose since a baddie could just cut the power.Enter ""color night vision"" - which again is not night vision.Cameras, all cameras, have a sensor.  This sensor needs light - regular light.  It behaves very similar to your eye; you can't see things without light.  The more light, the easier it is to see things.However, sometimes you can't increase the light level, yet you still need to see objects.In camera tech this is done by way of ISO, which is essentially a setting that tells the camera to compensate for lighting conditions - you can make things appear ""brighter"" or ""darker"".So...you combine a larger sensor with a higher ISO, and what you get...is ""color night vision"".In other words, all the camera's doing is amplifying whatever ambient light is there in order to improve the picture....ah, I see it's clicking to you now.TO use color night vision, NIGHT VISION SHOULD BE OFF.  Not ""on"", not ""auto"".  OFF.I know this doesn't make sense due to the naming.  But trust me on this.If you leave it ""auto"" the camera will sense that there's not enough light and just go to regular night vision (which will be black and white because color is not perceived through IR lighting.  Remember, IR sensors can't see the full spectrum of color).If you turn it off, the camera will simply adjust ISO based on whatever lighting is there and that's what you get.Now, you have to be realistic.  If there's literally NO ambient lighting whatsoever - I'm talking pitch black, no stars, no moon, NOTHING - you might as well do regular night vision with IR.  Or just get some light in there.  It doesn't need to be a lot - the side of my house has a single Phillips Hue bulb set at the lowest and I get full brightness through color night vision.SUMMARY:  color night vision needs at least some light to actually work, AND you must turn regular night vision OFF."
1.0,WYZE Products: From First to WORST,"  As a techie with 78 WiFi devices in my home, I’m VERY critical of the products that protect my family indoors and out. WYZE cams and their other products had been my favorite, until this Fall. Here’s why:1. One of my WYZE cameras died after a firmware update. App asked to upgrade firmware to 4.9.6.241 and immediately after doing so, the camera  became non-responsive.2. After one WYZE cam died, I took one of my indoor WYZE cams that was working perfectly and moved it outside to replace the one that died. Immediately upon connecting it, the full color images I got indoors turne to black & white. No more color. black & white.3. Two WYZE WiFi Contact Sensors in my home stopped working. I replaced the 3V CR1632 batteries. Despite seeing the tiny red light flashing as required, they refused to link to hub on back of one Version WYZE Cam.4. WYZE door lock was OK in general but geofencing feature that’s supposed to sense home arrival and unlock the door has NEVER worked. This means I was stuck having to enter code on the tiny separate keypad which WYZE makes you pay extra for.5. Received a brand new WYZE Cam V3. Setup procedure identical to prior version 2 and 1. However for some odd reason, this cam would not connect to either of my 2 WiFi channels with strongest signal.6. WYZE Cam V3 does NOT fit in their outdoor housing I used for prior versions. Nevada sun is brutal on cheap plastic so it turned my V2 cams to a brittle yellow color. Did same to the WYZE outdoor camera housings. Making things even more frustrating is fact that WYZE Cam 3 does not have a 1/4-20 threated hole for attaching to industry standard outdoor wall mounts. All they give you with the camera is a very cheap picture hook kind of cut-out which I would never trust on a windy day.7. Despite all my 76 other WiFi devices including cams from Tuya and Zmodo working perfectly, 2 WYZE cams have taken themselves offline and refuse to reconnect.SO WHAT MIGHT BE THE CURRENT BEST SECURITY CAMERA? Get one of the many on Amazon that use the VicoHome app. Here's why:1. When you get an alert and open the app to that camera it IMMEDIATELY shows you the motion that triggered the alert. Examples: If it's an Amazon delivery in front of your home, you'll see it. If it's an Amazon package on your front porch, you'll see it. I have 2 cams aimed to do exactly that.2. I have 3 Model CG6 from DCDVR also because they have internal batteries, which WYZE lack.3. They have standard 1/4-20 threads holes on the back so you can use existing wall mounts (another thing the latest WYZE cam lacks).4. DCDVR has never hit me with firmware updates or website crashes like WYZE constantly did.5. Just looking at a CG6 cam next to any WYZE cam will tell your eye that one is a toy and the other is a professional security camera that is built to withstand all outdoor weather conditions for many years."
1.0,Cam Plus Doesn’t Work,  We ordered 3 of the V3 cameras. I’ve got to say the clarity and night vision are awesome. We don’t get night vision in color though. Also when you set them up make sure you have SD cards because cam plus is an absolute JOKE. You get nothing but error codes on the event videos that make these cameras worth the money. For instance if someone was breaking into your home the camera would alert you but then it would throw up an error code that it cannot retrieve the event video from the cloud. You can still watch the person come in on the cam if you know that is what is happening. I had faith in Wyze but we are so frustrated with not being able to see the event videos that we want to return them
1.0,"Extremely disappointed, have to pay extra for worthwhile features","  Extremely disappointed in this camera, under the impression it would take footage of individuals approaching your home. This was to be used overnight. I spent over 45 minutes speaking with a Wyze customer service representative, not once did she indicate I had to purchase their plan Cam Plus to record full-length videos, or  receive alerts when people are detected.  My intention was to obtain footage of any individual approaching the house. The only footage I get is  vehicles driving past our home or motion from trees, in our yard. If you want motion from an individual walking up the driveway to your porch, forget it, it didn't even catch the mailman coming up our walkway.  The time frame 12 seconds should be longer time, once it catches the 12 seconds video event, you  have to wait for it to reset. I purchased the Wyze 32GB microSDHC card, if you want it to film continuous footage, expect to spend the time watching minute by minute, to catch any activity.My point is, if you want a camera to catch vehicles and motion from trees,  this camera will fit the bill."
1.0,"Not alexa compatible, apparnetly","  I linked the camera to the Wyze app (and its working).I linked the app to Alexa (and it says connected).I've said ""Alexa discover devices"" multple times, every time nothing.Alexa show me Front Porch (the camera name)Alexa responds ""Sorry, I didn't find a device named front porch"".Unlinking & re-linking did nothing.The closest thing to support I found says:  Note: You must have a Wyze Cam v2 or Wyze Cam Pan to connect with Amazon AlexaWhich I guess means v3 is NOT compatible..."
4.0,"AMAZING pictures and night image, sound is low and unrealiable","  I wanted a cheap home monitoring setup, and this camera is an AMAZING VALUE.  for under 30 dollars you get a HD camera that is wireless (although powered with a USB cable) that can record continuously on a micro SD card (up to 32 GB).The V3 has great images, a decent frame rate, two way audio with an 80 db siren you can activate.  The night feature means that even without ANY light, you can clearly see things happening.The trick that Wyze does is give you 3 weeks of their cloud recording to spoil you with ready access to all recording, when without the paid subscription you only get a 12 second video every 5 minutes, which is stored for 14 days, which is not bad.  I'm getting used to the subscription bonuses and may well decide to spend the money to keep them.  For someone who is only interested in coming home to review what the cat did all day, you might decide not to spend the money on the subscription.If you choose to put an SD card into the camera it will record 24/7 (and delete the oldest footage when it gets full) but you have to remove the card to put it into a device to see the recordings.  If someone steals the camera AND the SD card you may be out of luck to see who did it.The subscription is only $1.25 per month per camera and you get unlimited cloud recording plus a bunch of notification features such as alerts when the camera hears Carbon monoxide or Smoke detectors alarms.The audio features of this camera are its weakest feature.  Crackly audio or dropout is common, and its best to place the camera where is has fewer walls for the wifi signal to pass through.  The V3 only transmits on a 2.4 ghz signal (which is better for passing through walls anyway, but if it's outside you can sometimes make a big difference in connectivity by shifting the camera a few feet.  The data on the camera image shows how much data is being sent at any given moment, and if you don't have a solid data connection the audio suffers.Also, the audio volume from the camera to whoever your are talking to is fairly low, so above a certain height and distance they won't be able to understand what you are saying.  If you mounted in at eye height by your door, visitors would probably not have a problem hearing you, provided the camera has a solid wifi connection.This camera has SUPER night imaging capability, and switches from black and white night mode to color night mode if it detects motion.  You set the detection level for each camera so that minor movements like branches waving in the wind don't result in unwanted alerts.  You can also set audio trigger thresholds depending on the environment.  My camera looks at a 60 watt light fixture and manages to not become totally blown out.Setting up the cameras is very easy, you install the app and create an account, then push the setup button under the camera and log into your wifi.  A code is sent to your registered email account that gives you control of the camera, and even offers an optional two-step login to prevent possible hacking of your system.  As it stands, even the single stage login feels pretty secure, but it's nice to have the option, which you can turn on later.Each registered camera appears on your app screen, and you pick the camera you want to look at or configure and tap on it.  managing 6 cameras is as easy as one camera, even if it seems repetitious to have to individually configure each camera separately.These cameras are made to work outdoors and are IP66 rated, so dust and moisture should not be a problem, but I do intend to protect mine by mounting them where they will have some overhead cover from the elements.If you want an inexpensive home monitoring system that doesn't actually require a subscription (though you will probably WANT the subscription) then I haven't seen anything that approaches the V3."
5.0,The only one that didn't have significant lag time in the live feed!,"  I like these little cameras!  Setup was a breeze, picture quality is amazing, and the live feed is pretty much actually live (less than a 1 second delay for me, which was the best of all the newer cameras I tested - more about that below).  Real time live video is important to me for various reasons.  For example, one of my dogs keeps peeing in the house (marking), and if I can't catch him just before he pees then he's never going to learn to stop doing that. With a delay of even 3-4 seconds, I would be too late.These cameras are small and light.  The base is magnetic and very adjustable, and there are also adhesive and screw-in options for mounting.  Low light performance is exceptional - the IR night vision isn't needed until it's pretty much completely dark.The app is so-so..  it is responsive and more or less intuitive, and it does have all the basic capabilities needed. It just lacks some features that I would have liked.  For example, you can't fast forward through event videos or continuous recordings.  To jump to other points you have to move a bar on the timeline..  it is very difficult to skip just a tiny bit ahead.  I keep going too far, then going back too far or not far enough, and it's a pain.  You have to guess where to look for things.For this reason, continuous recording was not a great solution for me, because it was too hard to find events.  Recording events only is better, but I'd still like the ability to fast forward, or to see the actual video as you move your finger along the timeline.Speaking of recording events only to your SD card:  SD card recordings are NOT subject to the 12 second video/5 minute cooldown that you get with the free cloud recordings.  If you choose ""events only"" in the settings, it will break time into 1 minute increments, and it will continue recording until motion stops.  This wasn't made clear in any of the documentation I could find, and the live chat agent gave me incorrect information.  I almost gave up and returned these before even opening them, but first I decided to message them on Facebook.  The Facebook messenger representative gave me the correct information and links to where I could find more detailed information on their website. So, crisis averted.The audio is pretty terrible in recorded events.  It sounds like you're talking from across a long tunnel while holding your hand over the microphone.  When right up next to the camera outside, I can understand speech, but it still does not sound good.  It is slightly better indoors.  I don't know what the sound is like for the live feed though, and I don't know how it sounds when I talk through the camera.  (I haven't had anyone here to help me test things like that.  The dogs won't cooperate, they all want to be in the same room as me all the time).For me, the fact that there is almost no lag in the live video more than makes up for the shortcomings in audio.  Plus the price is great -- a lot more than they were before May, unfortunately, but still very competitively priced.  As soon as they're in stock anywhere, I'll be adding two pan cameras for inside, and maybe their doorbell, depending on whether or not there is enough space on my door frame.Here are all the cameras I've had/tried, to give you all some comparisons.  This will be long, but the summary is that between Dericam, Blink, Eufy, Eufy Solo, LittleElf, and Wyze, I liked the Wyze ones best.I did not test Ring because they are really expensive and have no options for local storage at all.  You have to pay for a subscription for each camera if you want to view recordings.  I didn't test Arlo because they're expensive and I hadn't gotten to them yet.  No need to do more testing now though, I'm keeping the wyze cameras.1. Original indoor cameras that I want to replace - Dericam 1080P P2, indoor pan/tilt, purchased in 2017.  They're old now and are showing their age, but there is virtually no lag time at all in the live feed, and you get all features and local storage without ever paying any fees. The app is kind of buggy and annoying (and slow by today's standards), but these cameras served me well for 3-4 years.  They are deteriorating now though, and it's time for an upgrade.2. Blink mini outdoor, 5 camera kit (ordered on prime day, so I got a really good deal).  The Blink cameras were really nice (image quality, sound, features, ease of installation), but I had a consistent 3 second delay in the live feed.  (My network is not the issue.)  It's really too bad, those seemed perfect otherwise.  I tried every single troubleshooting step and anything that other people mentioned having done in message boards.  No difference though, I always had a 3 second delay, so I returned them.3. Littlelf 1080P, pan/tilt etc.  Priced around what wyze cameras cost.  As far as I can tell this company only makes indoor cameras, so I would have had to get a different brand for outside, and use two apps to keep track of my house.  Not really want I want, but Lifflelf promised the ability to see multiple live streams at the same time, so I wanted to try them.  That feature does work and is actually really nice.  Good image quality (but not as good as the other newer ones), good audio, an app that was a little clunky but definitely usable... but I had a 4 second delay with these cameras, so they went back.4. Eufy - EufyCam E, 2-cam kit.  These were by far the most expensive cameras I tried, but they promise a year of battery life, and I wasn't sure if I'd be able to get power outside at that point.  The cameras seem really solid and well made.  I had no trouble adding the homebase and camera, although I did have a lot of trouble creating my account in the first place. The app seemed less intuitive than Blink or Wyze - (not a dealbreaker), but worked.  Image quality was great, sound was great, but I found that these had a 3-4 second delay.  For the price, they would have had to be perfect.5. Eufy Solo  IndoorCam P22 (pan/tilt), and Solo OutdoorCam C22 (which looks like a big eyeball, I really liked the design). The price of the indoor cameras was similar to Wyze, but their outdoor cameras were a lot more.  I thought that since these cameras connect directly to wifi and not to a base, they'd be faster.  I was wrong though, I had the same 3-4 second delay as with the other Eufy cameras.  Video quality is great, but not as good as the wyze v3 in my opinion.  Audio quality was really good with these.  But the delay was a dealbreaker.The End.  I applaud you if you got this far!"
1.0,"Constant Disconnects, missed recordings, false alerts.","  After my terrible experience with Wyze v2’s, I decided to try out the v3’s. My logic was that it couldn’t get any worse.I was so wrong. Continuous disconnects, false alarm after false alarm, app lock ups, a bit rates dropping to below 10kbps.My Eufy 2k Indoor cameras  suffer ZERO of these issues, have better picture quality and cost $5 more.Save yourself the headache and ignore the flood of fake and paid reviews. I’m giving these to someone I hate so they can be their problem.0/10. I’m done with Wyze."
1.0,Unusable due to poor sound quality. Audio is not functional. Only static.,"  I purchased this camera to use as a baby monitor. Unfortunately, the picture quality is great but there is a constant static sound when the sound is turned on via the app. This effectively renders the camera unusable as I need sound to monitor in addition to video. I tried moving closer to WiFi, resetting, no effect. Will return unless support can offer a solution. Unfortunately also, it appears from searching online that this is a common issue that has existed since the cameras were released without any solution yet.UPDATE 5/19/2021: I spoke to Wyze and was sent a replacement. The second V3 has the identical problem to the first, nothing but garbled static for sound. After researching online it appears this is probably the case with all their cameras (V2 and pan) but most people are not using them for audio recording. This is a total deal breaker for me as Wyze obviously knows of this issue but chooses the same poor components for new products."
