Rating,Title,Text
4.0,Pretty Solid Smart Lock,"  — Installation —I had a old Baldwin deadbolt that wasn’t compatible out of the box. Perhaps August customer support could have helped me out with a different adaptor, but I just went ahead a purchased a new deadbolt instead.As a result I had to enlarge the hole in my door somewhat & adjust the strike plate. Hopefully, your deadbolt will be compatible (the August site has a list of ones that are), so you won’t need to swap out deadbolts as I did.The installation after that was easy. However, getting it calibrated took a bit of trial and error, but after almost giving up, I finally succeeded.— Look & Feel —The lock itself is a nice peace of hardware & is now small enough where it doesn’t look so ungainly.I also purchased the keypad. It seems to work fine, but is not the most elegant thing.— HomeKit —As other reviews have noted, the lock only works over Bluetooth with HomeKit and not via WiFiHowever, the August app works over WiFi, such as when you are at home on your WiFi network or away and on a cellular network (or any internet connection). Go figure!?Hopefully, this is a bug that August will sort out as it doesn’t make any sense.— Overall —4 stars due to the calibration hassle & HomeKit weirdness.Otherwise a solid piece of hardware that lets you go key free with the flexibility to assign multiple users to the lock including guests.Edit 2020-06-12: I edited the HomeKit portion to be more clear on the WiFi limitations."
1.0,Decent lock but terrible customer service,"  The lock seems okay so far, though apparently the way to get the instructions for installing is to first install the app and start walking through.  Also it took several tries to get it connected to wifi, which I had seen other reviews mention.  Once it connected it seems fine although it occasionally drops and reconnects.The problem I had is during installation it said to install the door sense sensor but it isn't in the box.  I emailed customer service asking if it was supposed to be included with the 4th gen lock and they said yes, it should come with the sensor but not to worry because I can buy one on their website ($25).  I replied asking if buying a sensor or returning the entire lock were my only options.  They confirmed that yes, those are the only options.  Apparently they can't throw a sensor in an envelope and mail it to me.I guess my advice is to make absolutely sure you have all the parts that are supposed to be in the box before you install it because if it is missing anything their customer service team will not do anything to correct the problem.  Either that or just buy a different brand that cares about providing good service."
1.0,A Total Failure - Avoid,"  The reason I rated the lock low is it is plagued with problems, firstly it doesn’t have enough torque. I live in Austin and we have weather-seal around door frames. This increases pressure on the deadbolt and makes it “stiffer” this device does NOT like that! I had to calibrate the deadbolt to only partially engage as it didn’t have enough torque to drive the deadbolt home and settle. Instead the lock entered an “uncertain” state where it would constantly jog the motor (running the batteries down) as it attempted to drive the deadbolt home. NOT GOOD!I don’t know if the app is behind in updates with iOS 14 and all but using voice commands with Siri and Apple Home is SUPER flaky. 20% success rate on 100% recognized commands.Siri will recognize the command 100% correctly, it’s when it goes to interact with the lock / Apple home you get about a 20% lock / unlock rate, also it’s super slow task 10 - 20 seconds to lock / unlock!I’ve had loads of “sorry I wasn’t able to lock the front door, for more details check the home app” and “I’m not sure if your door is locked, check back again” Siri messages and frankly when locking a property who wants that? The Apple Watch app is just as bad, it’s a 20% chance it will do what you want it to when you tap.Setup when integrating the device with Apple Home was super problematic and not easy to resolve! Took several resets etc.I’ve had the lock for almost 10 days now and it spectacularly fails at its core competency “being a lock that’s smart”. God help you if you were trying to get into the house in an emergency using the app, watch, siri etc. The lock is located 8 feet from the Google fiber router so connection and speed are not the issue. It’s purely down to poor software that the developer isn’t keeping updated and get more and more moldy as Apple releases OS updates.I’m going to be seeking a refund from Amazon and returning the lock. Not good enough August! Not even close!"
1.0,1 Month Battery Life Make this Lock Impractical.,"  It installed easily physically and for local Bluetooth control, but battery life is terrible..The instructions were in the app that must be loaded and had videos for each step making it very easy.  Most importantly, the device operated the deadbolt easily.  Read on for our impressions after using the August Smart Lock.  --  TERRIBLE BATTERY LIFE.  With the provided 2 batteries I got 1 month of use before battery warnings started to appear.  And this is on a side garage door that is infrequently used, maybe twice a week and then only manually actuated.  Update:  After replacing the battery the 2nd set of new batteries also only got about 1 month.  So the extremely short battery life makes this lock impractical.  Very expensive to replace 2 special batteries every month.  -- DIFFICULT NETWORK INSTALL.  Network install was DIFFICULT.  I could not get it to install on my network with my Galaxy s7 smart phone.  Following every trouble shooting step they suggest I could never get it to work.  At this point I called and spoke with support and interestingly, from their end,  they could see the lock installed on the network but my phone just kept showing an failure to install.  The tech then suggested a different phone and we then tried a Galaxy S9 and the lock installed first time on the network.  And once it was installed i could invite the other phone, the S7 and now it also was able to operate the lock.  --  EXCELLENT TECH SUPPORT  The support was excellent.  Probably the best support Ive had in a long long time.  I called the support number and spoke with a person, very quickly I might add,  who was very helpful and knowledgeable and spent all the time I needed to install the lock which was probably a good 45 minutes having gone through multiple cycles of reset, calibration, network fail until finally he suggested a different phone which worked.Conclusion.  Replacing the batteries every month!  Forget it!.  I'm sorry, sounds like a good company but the short batter life means this his is the first and last August Smart Lock I'll ever use."
4.0,"Works as Advertised, but...","  Update 1/3/2022 - This lock is not compatible with ES Impact Doors.  Recently replaced old door with ES-MX3000 door.  The new door accommodates a Schlage deadbolt lock, but the door needs to be securely closed for the deadbolt to fully engage.  This August lock will not engage the deadbolt under normal conditions.I had a Schlage electronic combo lock on my door and it was not listed as compatible with this device, but as it turned out, it is.  I did have to remove the inside lever (and battery, electronics, etc.) and replace it with this August smart lock, which rendered the combo lock useless, but still allowed me to use the existing keys when needed.  Of course this device does provide the same deadbolt security (it uses the existing mechanism), while adding Wi-Fi and BT control via apps.  I programmed it to auto-unlock when I get close to my door.  You can program it to auto-lock also, but if you go out without your phone and/or key, you could find yourself locked-out.  So, when I leave, I got into the habit of using my phone to lock my door.  It is very cool as I get close to my door, the app sends a notification welcoming me home and letting me know that my door in being auto-unlocked.The install process took all of about 10 minutes.  The instructions were quite adequate - just about removing 2 screws and reinstalling them with the smart lock's mounting bracket.The only issue I had was with the Wi-Fi connection.  I did have to get a range extender and position it close enough to the door to maintain a persistent connection to my network.  My advice is to buy the highest speed and greatest range extender you can find.  They are not all the same, and they need to be placed where they get good signal from both your router and the devices that connect through it.  It took some trial and error to find the sweet spot, but I do now have a stable connection.  Tech Support was of no use.8/24/20 - Update:  While the device works pretty much as advertised, there is a bug with sustaining a Wi-Fi connection.  I reported this to tech support and emailed them log files several times.  They said that they created a bug report.  Several times during a 24 hour period, I get notifications that the connection was lost, followed immediately by another notification that the connection was recaptured.  They claim that -60dB signal is required.  The app reports that the signal strength is -41dB - much better than the minimum - and this is with 13 feet between the door and the range extender (see the picture).  It also seems to go to sleep, as when I check the lock status, sometimes it says ""Unknown"", eventually becomes known and when I check the signal strength it is typically -41.  I have a Ring door bell cameral on the otherside of the door that does not have this problem, using the same range extender.9/12/20 - Amazon customer support sent me another August smart lock, but I sent it back as after moving my range extender within 10 feet of the door (see pix) the Wi-Fi connection stablized and stopped sending disconnect notifications.  I am updating now as fresh batteries seemed to die after less than 3 weeks (8/26 to 9/12).  All BT and Wi-Fi connection was lost.  I replaced the batteries and BT became active, but no Wi-Fi.  I tried to reconnect to the network using the app. - NG.  I finally did a factory reset and started a new install.  That worked.  This tells me that you need to pay attention to the status of the batteries as the device/app does not warn you.  Also, when the batteries die, the device forgets who it is and needs to be reinstalled after you replace the batteries."
3.0,Great Smart Deadbolt; Easy to Install: First Unit Broke,"  EDITED: After a week, the August Wifi Smart Lock failed to work. Attempted to recalibrate it and received repeated error messages [Sorry. Something Went Wrong]. Spent an hour with a helpful rep from August who diagnosed it as a broken motor after demonstrating the issue via a Skype tech support call. Unit is being returned. Dropped the review from 5 stars to 3 because of the product failure, but also I still think if it functions correctly, this would represent the best combo of a smart lock that still lets you use your standard keyed deadbolt.Added the latest August Smart Lock to a new Kwikset front door handle & deadbolt. Results pictured.- Product installation is very easy; directions available in the August app that you'll download & use to control the lock. [I use an Android (Google Pixel) smartphone.)- The small white device on the door frame is used to detect the lock's position and communicate it through the app. So, for instance, if the door is ajar, you'll know. App also tracks all opening/closing activity.- The black cover behind the lock is only needed if the hole bored out for your deadbolt is large and needs covering. It doesn't hinder or impede installation at all.- 'Satin nickel' doesn't match the same finish designation on the Kwikset doorknob, but I'm not really a stickler for exact match- I chose this over the Yale/Google Nest smart deadbolt because with the August you only change the interior hardware, and can still use the traditional exterior entry key that comes with the deadbolt.Highly recommended product."
4.0,Awesome lock for HomeKit.....IF you know all the details....,"  I normally don't write a review as fast as this (I got my lock and installed it yesterday), but there are some important facts that I didn't realize when I bought it.  This is for all my HomeKit people, I am a 100% pure Siri operated house.  My requirement is that everything I buy and install must be HomeKit compatible.  I don't want to deal with multiple electronic personalities in my home, it is already crazy enough as it is.  I came across this lock initially because Amazon listed the older gen version on sale for under $100 (Used-Like New).  I started researching to see the differences between that one and this one.  The old one required a plug-in bridge in order for the lock to gain WiFi Access, whereas this one has WiFi built in.  And this one is sleeker, newer, better, etc..... I am one of those who operates on the policy that if it costs more, its better, so I buy it (no judgement please).Anyway, here is the little nugget that is hidden away in the August help articles.  Well, maybe it isn't that hidden, but I certainly didn't realize it.  If you are using HomeKit, then the lock MUST be within BLE (Bluetooth Low Energy) range of your home hub.  For me, I use Apple TV 4K as my hub.  Which is in my living room.  Which is about 80' or so away from the detached garage where I installed this lock.  But fret not, there is a very simple work-around (which I'll get to in a minute).Install of the lock, mechanically at least, was super easy.  Connecting to WiFi and getting the app set up was a bit of a pain.  Now, to be fair, I use a Netgear Orbi mesh system, and my satellites were in need of an update, so its possible that played a role.  But I had to reset the lock twice before I could get the thing reliably online.  First few attempts, wouldn't connect.  Then, it connected, but wouldn't give me a signal.  Finally, I got it all squared away and the lock was good to go.  Or so I thought.  Then came the HomeKit part.  So, you have to setup HomeKit through the August App.  But, at the time, I wasn't tracking the BLE range for it to work.  So I kept having problems.  I ended up deleting the lock from my home through the Home app.  But, when I did, even though it was gone, the lock was still registered, so I couldn't re-add it.  I did some internet searching, found a help article that had the answer.  I actually had to remove the lock portion (not hard, two little black clips that open out), then hold a red button on the back of the unit for 7 seconds to reset the lock.  After that, I was able to get it back into Apple Home.  But I still  spent the next 30 minutes trying to figure out the ""No Response"" problem in Home.  Which led me to the inter-webs, which led me to the help articles, which eventually led to the knowledge that, despite the fact that it is a WiFi enabled app.....it uses BLE for HomeKit.  Seems dumb, but is what it is.Now the workaround, when you have a device setup as a hub for Home (iPad, TV, Homepod), it acts as a BLE hub as well (if you are home smart-er than me, don't judge my terminology, I'm new here and learning as a go).  Anyways, when you add hub devices, they automatically act as BLE extenders.  So, for example, in my home, I've got an Apple TV in the living room, which is my main hub.  I then have a few HomePod Minis through the house for Siri control and ease of access.  The HomePod Minis passively act as BLE range extenders (Apple never ceases to amaze).  The WiFi lock on the shop no-worky, but when I move one of the HomePod Minis out to the detached garage, it acts as the BLE extender, and bam, lock works.All in all, I love that this lock only replaces the back thumb plate, that it is very discreet and no indication of a smart lock from the outdoors.  It is sleek looking, makes cool robot noises, and very smooth in operation.  Armed with the knowledge I have now about HomeKit operation, I can comfortably move forward with swapping the rest of the locks on my property.  But, to be fair, this is a day one review.  I may be back after a month of operations with some more accurate feedback.  But hopefully, you the reader can be saved the time and effort it took for me to get to this point, and just skip straight to the ""yay, it works!"" part."
1.0,Doesn't work for users classified as 'Guest',"  While this device works perfectly for any user classified as an 'Owner' (who, by definition, have complete  access to all the features, including remote control from anywhere on the planet), for users classified as 'Guest' (only able to lock and unlock from on site) it doesn't work at all.A trouble ticket opened with August resulted in the following response: ""Thank you for reaching out to us. We are truly sorry for the inconvenience this has caused you.There is a known issue that causes Guest access level users to have trouble connecting to lock. Our team is aware of the situation and they are working on it.""How in the world did this thing ever get released to the market with such a severe problem? Until the issue is resolved, the lock is of no use, as it was installed on a restaurant's main entrance for use by several non-managerial staff members. I can't allow just anyone to be able to unlock the door from anywhere, at will."
5.0,No complaints from me,"  I rarely leave reviews but I love this smart lock and seeing the bad reviews I felt like I had to even things out a little. I think my good experience can be explained by looking at what most negative reviews are complaining about: the auto (un)lock feature (which I don't use) and problems with the wifi (which I don't experience as my setup is pretty beefy).Hardware installation was an absolute breeze, it really isn't any more complicated than installing a regular deadbolt. If you already have a deadbolt then all you need is a screwdriver: no need for new screws or new holes as you're simply re-using the ones from your existing deadbolt.The wifi setup is where I expected things to go wrong based on the reviews, but that was a breeze as well. I'm running multiple access points (Ubiquiti AP AC PRO) but none of them are on the same floor as the smart lock, so it connects to the one on the floor immediately above it. The Unifi dashboard shows the lock as having -72dBm signal, so not great, but it has worked flawlessly nonetheless. Looking at the client history I do see that it loses the connection every few days but it reconnects immediately (see attached screenshot). I run a combined 2.4Ghz / 5Ghz network using the same SSID and the lock connected to the 2.4Ghz network automatically without me having to disable the 5Ghz.As far as the auto (un)lock feature, I haven't been using it so I can't comment on it, but that's where a lot of folks seem to be having issues. I bought the lock mostly in case I forget my keys and get locked out, or for those times I'm laying in bed and suddenly wonder if I locked the front door, and it's worked amazingly well for those use cases."
3.0,*Updated* Unreliable Connection,"  I'll leave my original review below, but since purchasing and setting up my lock seven months ago, the connection issue has been mostly resolved.  I had to remove and add the lock several times as well as uninstalling and reinstalling the Android app before it was finally recognized and kept the connection.  I've since upgraded from one start to three.  The reason for the three star rating is because although the connection issue was fixed, the battery drains way too often.  I found myself having to replace the battery about once every 5 weeks or so.  I've contacted support thinking maybe it was a false reading or perhaps I got a bad device, but customer support was a lacking.  It'd take a few days for an answer and the answers were basically regurgitations of the online FAQs.  The only other option was sending it back and that meant removing it from the door and either putting the old deadbolt back or having a gaping hole until a new unit arrived.  I'm satisfied enough for the most part, but the poor battery makes this a hard to repeat purchase.ORIGINAL REVIEW:  I've had my eye on the August smart lock for a while.  I liked the idea of using my existing deadbolt and bluetooth integration.  I already have a Yale Nest deadbolt on my other door and while I like it, you can't add additional users without giving them access to your other Nest products.  I installed the August lock on my front door (the Nest is on my side door) so that I could give temporary access to friends.  Installation was easy enough; I followed the directions step by step in the app and had no issues.  It took a couple of tries in the app to get it connected to my network, but eventually I was up and running.  The app seems to be pretty bare bones, but easy enough to navigate.  I linked it to my Google Assistant and was pleasantly surprised that I could lock as well as unlock my door by voice (the Nest lock will only lock).  I tested the locking feature out several times--by voice, app, and manually--to make sure it worked and it did.  At least, it did while I was in my home.  The minute I stepped out to run an errand and attempted to lock the door through the app while still standing in my walkway, it could not connect to my lock.  I stood there for far too long trying to get it to connect before I just walked back to the door and locked it with my key.  After leaving my house, I tried again to connect to it through the app, but it would not work at all.  After returning home and trying several more times, I decided to just factory reset my lock and try the process over again.  Once again, it worked and I was able to lock and unlock through the app.  I also set up the smart lock and unlock features in the hopes that it would just do that automatically when I leave and return so that I didn't have to fidget with the app.  The next day when I left home, I attempted to access the lock through the app to make sure it was locked, and once again, it refuses to connect.  The 'connecting' screen will either hang indefinitely or tell me it cannot connect and suggest I purchase the bridge.  What use is this smart lock when I can't check the status once I leave the house?  As it stands now, this lock is pretty much useless to me.  I don't need to check the status in the app while I'm home because I'm home.  I can't lock it once I leave the house even when I'm literally standing five feet from it and cannot check the lock through the app once I'm away.  I refuse to try purchasing the bridge because this lock supposedly does not need it.  I'd like to give it higher than one star simply because it was easy to install and looks and feels nicely built, but the features and app are useless."
